% time spent exploring,Local Reached Total Count,episodes,mean 100 episode reward,steps,% time spent exploring in plan,Goal Reached Total Count,plan episodes,plan mean 100 episode reward,plan steps
91,1635,16700,-3.1,89432,,,,,
,,,,,91,47,469,-93.6,89633
91,1642,16800,-3.1,89942,,,,,
91,1653,16900,-3.1,90497,,,,,
90,1666,17000,-2.7,90974,,,,,
,,,,,90,48,479,-93.9,91541
90,1676,17100,-3.5,91602,,,,,
90,1687,17200,-3.2,92161,,,,,
90,1699,17300,-2.6,92691,,,,,
90,1710,17400,-2.5,93160,,,,,
,,,,,90,50,489,-92.1,93338
90,1720,17500,-2.6,93603,,,,,
90,1734,17600,-3.0,94148,,,,,
90,1744,17700,-3.3,94743,,,,,
,,,,,90,52,499,-91.3,95177
90,1757,17800,-2.9,95249,,,,,
90,1767,17900,-2.8,95741,,,,,
90,1771,18000,-3.3,96304,,,,,
90,1782,18100,-3.5,96925,,,,,
,,,,,90,53,509,-91.3,97068
90,1791,18200,-3.2,97507,,,,,
90,1805,18300,-2.9,98036,,,,,
90,1824,18400,-2.2,98485,,,,,
90,1837,18500,-2.8,99000,,,,,
,,,,,90,53,519,-91.1,99068
90,1850,18600,-3.0,99580,,,,,
90,1867,18700,-2.8,100117,,,,,
90,1876,18800,-2.9,100642,,,,,
,,,,,90,56,529,-90.4,100841
89,1892,18900,-3.3,101275,,,,,
89,1899,19000,-3.3,101824,,,,,
89,1914,19100,-3.0,102340,,,,,
89,1937,19200,-2.3,102792,,,,,
,,,,,89,57,539,-90.7,102834
89,1953,19300,-2.5,103281,,,,,
89,1981,19400,-2.3,103745,,,,,
89,1993,19500,-2.8,104267,,,,,
,,,,,89,59,549,-89.3,104707
89,2001,19600,-3.1,104830,,,,,
89,2018,19700,-2.6,105308,,,,,
89,2026,19800,-3.0,105838,,,,,
89,2038,19900,-2.9,106360,,,,,
,,,,,89,61,559,-88.0,106525
89,2055,20000,-2.6,106883,,,,,
89,2062,20100,-3.9,107524,,,,,
89,2072,20200,-2.8,108061,,,,,
,,,,,89,63,569,-87.0,108319
89,2095,20300,-2.4,108535,,,,,
89,2105,20400,-3.3,109113,,,,,
89,2120,20500,-2.8,109620,,,,,
,,,,,89,66,579,-87.0,110168
89,2138,20600,-3.1,110237,,,,,
89,2153,20700,-2.7,110742,,,,,
88,2161,20800,-3.3,111357,,,,,
88,2173,20900,-3.2,111943,,,,,
,,,,,88,66,589,-87.7,112168
88,2181,21000,-3.3,112507,,,,,
88,2196,21100,-2.3,112961,,,,,
88,2207,21200,-2.9,113497,,,,,
88,2223,21300,-2.5,113995,,,,,
,,,,,88,66,599,-87.3,114168
88,2231,21400,-2.8,114487,,,,,
88,2245,21500,-2.5,114963,,,,,
88,2255,21600,-3.2,115523,,,,,
,,,,,88,67,609,-87.2,116027
88,2270,21700,-2.7,116069,,,,,
88,2281,21800,-3.1,116642,,,,,
88,2291,21900,-2.9,117163,,,,,
88,2301,22000,-2.7,117725,,,,,
,,,,,88,68,619,-87.0,118008
88,2310,22100,-3.3,118368,,,,,
88,2323,22200,-3.1,118978,,,,,
